evidence_id,name_ja,candidate_id,production_recipe_ids,wave,representability,decision_status,implementation_type,identity_set_status,identity_ingredient_count,existing_ingredient_count,new_ingredient_count,new_ingredient_ids,overlap_ratio,nearest_production_recipe_id,nearest_jaccard,collision_risk,collision_risk_reasons,required_capabilities,candidate_capabilities,runtime_contract_dependencies,sauce_base_status,sauce_base_ingredient_id,evidence_complete,blocker_types,review_item_types,dedicated_asset_required,pitz_price,unlock_fee,star_gate,non_star_condition,completion_gate
grandma-pizza-pizzadb,グランマピザ,grandma-pizza,,W4,PARTIAL,READY,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,salsiccia,0.4,LOW,,MULTI_SPREAD_LAYER,,,listed,tomato-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
greek-style-pizzadb,グリークスタイルピザ（PIZZA DB版）,greek-style-pizzadb,,W5,NOT_REPRESENTABLE,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,3,1,feta,0.75,capricciosa,0.4286,LOW,,DOUGH_VARIANT|PAN_BAKE,,,listed,tomato-sauce,True,COMPOSITION_CONFLICT_CANDIDATE,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
chicago-deep-dish-pizzadb,シカゴディープディッシュ（PIZZA DB版）,chicago-deep-dish-pizzadb,,W5,NOT_REPRESENTABLE,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,salsiccia,0.75,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,STEP_ORDER|PAN_BAKE,,,listed,tomato-sauce,True,COMPOSITION_CONFLICT_CANDIDATE,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
siciliana-pizzadb,シチリアンピザ（PIZZA DB版）,siciliana-pizzadb,,W5,NOT_REPRESENTABLE,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,tonno-e-cipolla,0.6,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,DOUGH_VARIANT|PAN_BAKE|DOUGH_SHAPE_TARGET,,,listed,tomato-sauce,True,COMPOSITION_CONFLICT_CANDIDATE,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
sfincione-pizzadb,スフィンチョーネ,sfincione,,W4,PARTIAL,READY_WITH_REVIEW,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,5,5,0,,1.0,fugazza,0.6,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,MULTI_SPREAD_LAYER,,,family_derived,tomato-sauce,True,,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
supreme-pizzadb,スプリームピザ,supreme-pizzadb,,W3,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,7,6,1,bell-pepper,0.8571,meat-lovers,0.3,LOW,,,,,listed,tomato-sauce,True,COMPOSITION_CONFLICT_CANDIDATE,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
taco-pizza-pizzadb,タコピザ,taco-pizza,,W4,PARTIAL,BLOCKED_PRODUCT_DECISION,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,6,0,6,cheddar|fresh-tomato|ground-beef|lettuce|salsa|tortilla-chips,0.0,tonno-e-cipolla,0.0,LOW,,,LATE_ADDITION,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,salsa,True,MECHANIC_INTERPRETATION,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
flammkuchen-pizzadb,タルトフランベ,flammkuchen,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,3,2,1,fromage-blanc-sauce,0.6667,fugazza,0.2,LOW,,,,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,fromage-blanc-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
chilean-napolitana-pizzadb,チリアンナポリターナ,chilean-napolitana,,W3,FULL,READY_WITH_REVIEW,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,3,2,1,fresh-tomato,0.6667,napoletana,0.4,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
trenton-tomato-pie-pizzadb,トレントントマトパイ,trenton-tomato-pie,,W4,PARTIAL,READY_WITH_REVIEW,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,2,2,0,,1.0,salsiccia,0.6667,HIGH,DISCOVERY_IDENTITY_REVIEW|MATRIX_COLLISION_REF,STEP_ORDER,,,listed,tomato-sauce,True,,SAME_INGREDIENT_SET_AS_CATALOG_RECIPE,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
tonno-e-cipolla-pizzadb,トンノエチポッラ（PIZZA DB版）,tonno-e-cipolla,tonno-e-cipolla,W0_CORRESPONDENCE,FULL,ALREADY_SHIPPED_CORROBORATED,RECIPE_DATA_ONLY,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,tonno-e-cipolla,1.0,HIGH,EXACT_PRODUCTION_INGREDIENT_SET,,,,listed,tomato-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
new-haven-apizza-pizzadb,ニューヘイブンアピッツァ,new-haven-apizza,,W1,FULL,READY,NEW_INGREDIENT_DATA_ONLY,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,3,1,clam,0.75,quattro-formaggi,0.2857,LOW,,,,,listed,olive-oil,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
ny-style-pizzadb,ニューヨークスタイルピザ（PIZZA DB版）,ny-style,,W4,PARTIAL,READY_WITH_REVIEW,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,2,2,0,,1.0,salsiccia,0.6667,HIGH,DISCOVERY_IDENTITY_REVIEW|MATRIX_COLLISION_REF,DOUGH_VARIANT,SERVE_FORM,,listed,tomato-sauce,True,,CANDIDATE_CAPABILITY|SAME_INGREDIENT_SET_AS_CATALOG_RECIPE,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
bacalhau-pizzadb,バカリャウピザ,bacalhau,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,3,1,salt-cod,0.75,tonno-e-cipolla,0.3333,LOW,,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
buffalo-chicken-pizzadb,バッファローチキンピザ（PIZZA DB版）,buffalo-chicken-pizzadb,,W4,PARTIAL,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_AND_RUNTIME_CONTRACT_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,1,3,blue-cheese-dressing|buffalo-sauce|chicken,0.25,salsiccia,0.1667,LOW,,MULTI_SPREAD_LAYER|LATE_ADDITION,,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,buffalo-sauce,True,COMPOSITION_CONFLICT_CANDIDATE,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
margherita-pizzadb-row,マルゲリータ,margherita-pizzadb,margherita,W0_CORRESPONDENCE,PARTIAL,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,margherita,0.75,LOW,,MULTI_SPREAD_LAYER,,,family_derived,tomato-sauce,True,COMPOSITION_CONFLICT_SHIPPED,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
pizza-baiana,ピッツァ・バイアーナ,pizza-baiana,,W3,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,4,0,,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,,,,family_derived,tomato-sauce,False,UNRESOLVED_INGREDIENT,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
pizza-a-caballo,ピッツァ・ア・カバージョ,pizza-a-caballo,,W5,NOT_REPRESENTABLE,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_AND_RUNTIME_CONTRACT_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,3,3,0,,1.0,capricciosa,0.5,LOW,,DOUGH_VARIANT|ENCLOSE,,SAUCELESS_RECIPE_CONTRACT,none,,True,EVIDENCE_GAP,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
fugazzeta-rellena,フガゼッタ・レジェーナ,fugazzeta-rellena,,W5,NOT_REPRESENTABLE,READY,NEW_MECHANIC_AND_RUNTIME_CONTRACT_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,4,0,,1.0,capricciosa,0.4286,LOW,,DOUGH_VARIANT|ENCLOSE,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
bianca-pizzadb-row,ピッツァビアンカ,bianca,,W3,FULL,READY_WITH_REVIEW,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,3,1,ricotta,0.75,pizza-bianca,0.5,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
pizza-de-cancha,ピッツァ・デ・カンチャ,pizza-de-cancha,,W4,PARTIAL,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,3,0,,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,DOUGH_VARIANT|MULTI_SPREAD_LAYER,,,family_derived,tomato-sauce,False,UNRESOLVED_INGREDIENT,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
hawaiian-pizzadb-row,ハワイアンピザ,hawaiian,,W1,FULL,READY,NEW_INGREDIENT_DATA_ONLY,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,3,1,pineapple,0.75,meat-lovers,0.4286,LOW,,,,,family_derived,tomato-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
swedish-kebab-pizza-pizzadb-p4,スウェディッシュケバブピザ,swedish-kebab-pizza,,W3,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,1,2,kebab-sauce|lettuce,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,,MULTI_SPREAD_LAYER,,unspecified,,False,BASE_SAUCE_UNSPECIFIED|UNRESOLVED_INGREDIENT,CANDIDATE_CAPABILITY,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
scacciata-ragusana-pizzadb-p4,スカッチャラグザーナ,scacciata-ragusana,,W5,NOT_REPRESENTABLE,READY,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,3,2,1,caciocavallo,0.6667,salsiccia,0.5,LOW,,ENCLOSE,,,family_derived,tomato-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
spanish-chorizo-pizza-pizzadb-p4,スパニッシュチョリソピザ,spanish-chorizo-pizza,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,3,1,bell-pepper,0.75,salsiccia,0.4,LOW,,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
spinach-artichoke-pizza-pizzadb-p4,スピナッチアーティチョークピザ,spinach-artichoke-pizza,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,5,2,3,artichoke|cream-cheese|spinach,0.4,quattro-formaggi,0.25,LOW,,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
speck-e-brie-pizzadb-p4,スペックエブリー,speck-e-brie-pizzadb,,W3,FULL,BLOCKED_PRODUCT_DECISION,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,1,3,brie|prosciutto-crudo|walnut,0.25,salsiccia,0.1667,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,,,SAUCELESS_RECIPE_CONTRACT,none,,True,COMPOSITION_CONFLICT_CANDIDATE,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
smore-dessert-pizza-pizzadb-p4,スモアデザートピザ,smore-dessert-pizza,,W4,PARTIAL,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,0,3,chocolate|graham-cracker|marshmallow,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,LATE_ADDITION,,,unspecified,,False,BASE_SAUCE_UNSPECIFIED,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
st-louis-style-pizza-pizzadb-p4,セントルイススタイルピザ,st-louis-style-pizza,,W4,PARTIAL,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,1,0,,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,DOUGH_VARIANT,,,family_derived,tomato-sauce,False,UNRESOLVED_INGREDIENT,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
thai-chicken-pizza-pizzadb-p4,タイチキンピザ,thai-chicken-pizza,,W3,FULL,BLOCKED_PRODUCT_DECISION,RUNTIME_CONTRACT_CHANGE_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,1,3,chicken|cilantro|peanut-sauce,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,,,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,peanut-sauce,False,UNRESOLVED_INGREDIENT,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
mentaiko-cream-pizza-pizzadb-p4,たらこクリームピザ,mentaiko-cream-pizza,,W4,PARTIAL,READY,NEW_MECHANIC_AND_RUNTIME_CONTRACT_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,5,1,4,cod-roe|fresh-cream-sauce|nori|shiso,0.2,salsiccia,0.1429,LOW,,LATE_ADDITION,,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,fresh-cream-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
argentine-napolitana-pizzadb-p1,アルゼンチン風ナポリターナ,argentine-napolitana,,W4,PARTIAL,READY_WITH_REVIEW,NEW_MECHANIC_AND_RUNTIME_CONTRACT_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,5,4,1,fresh-tomato,0.8,marinara,0.3333,MEDIUM,CONTENT_REVIEW_OR_HIGH_SIMILARITY,DOUGH_VARIANT,,SAUCELESS_RECIPE_CONTRACT,none,,True,,NAMING_CLUSTER,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
ikura-salmon-pizza-pizzadb-p1,いくらとサーモンのピザ,ikura-salmon-pizza,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,0,4,cream-cheese|salmon|salmon-roe|shiso,0.0,tonno-e-cipolla,0.0,LOW,,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
vegan-cashew-cheese-pizza-pizzadb-p1,ヴィーガンカシューチーズピザ,vegan-cashew-cheese-pizza,,W2,FULL,READY,NEW_INGREDIENT_DATA_ONLY,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,1,3,bell-pepper|cashew-cheese|zucchini,0.25,salsiccia,0.1667,LOW,,,,,family_derived,tomato-sauce,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
eel-pizza-pizzadb-p1,うなぎピザ,eel-pizza,,W4,PARTIAL,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,1,3,eel|green-onion|sansho-pepper,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,LATE_ADDITION,,,unspecified,,False,BASE_SAUCE_UNSPECIFIED|MECHANIC_INTERPRETATION,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
jerusalem-mixed-grill-pizza-pizzadb-p1,エルサレムミックスグリルピザ,jerusalem-mixed-grill-pizza,,W3,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,1,3,chicken|cumin|parsley,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,,,,unspecified,,False,BASE_SAUCE_UNSPECIFIED,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
old-forge-style-pizza-pizzadb-p1,オールドフォージスタイルピザ,old-forge-style-pizza,,W5,NOT_REPRESENTABLE,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,1,0,,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,DOUGH_VARIANT|PAN_BAKE|DOUGH_SHAPE_TARGET,,,family_derived,tomato-sauce,False,UNRESOLVED_INGREDIENT,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
okonomiyaki-style-pizza-pizzadb-p1,お好み焼き風ピザ,okonomiyaki-style-pizza,,W4,PARTIAL,BLOCKED_PRODUCT_DECISION,NEW_MECHANIC_AND_RUNTIME_CONTRACT_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,0,5,bonito-flakes|cabbage|mayo|okonomiyaki-sauce|pork,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,MULTI_SPREAD_LAYER,,UNSUPPORTED_SAUCE_ID_CONTRACT,listed,okonomiyaki-sauce,False,UNRESOLVED_INGREDIENT,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
caponata-pizza-pizzadb-p2,カポナータピザ,caponata-pizza,,W3,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,2,2,capers|eggplant,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,,,,unspecified,,False,BASE_SAUCE_UNSPECIFIED,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
california-style-pizza-pizzadb-p2,カリフォルニアスタイルピザ,california-style-pizza,,W4,FULL,READY,RUNTIME_CONTRACT_CHANGE_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,4,0,4,arugula|avocado|fresh-tomato|goat-cheese,0.0,tonno-e-cipolla,0.0,LOW,,,,SAUCELESS_RECIPE_CONTRACT,none,,True,,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
cauliflower-crust-pizza-pizzadb-p2,カリフラワークラストピザ,cauliflower-crust-pizza,,W4,PARTIAL,READY_WITH_REVIEW,NEW_MECHANIC_REQUIRED,COMPUTED_FROM_COMPLETE_IDENTITY_SETS,3,3,0,,1.0,margherita,1.0,HIGH,DISCOVERY_IDENTITY_REVIEW|EXACT_PRODUCTION_INGREDIENT_SET|MATRIX_COLLISION_REF,DOUGH_VARIANT,,,family_derived,tomato-sauce,True,,SAME_INGREDIENT_SET_AS_CATALOG_RECIPE,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
curry-pizza-japan-pizzadb-p2,カレーピザ,curry-pizza-japan,,W3,FULL,BLOCKED_PRODUCT_DECISION,EVIDENCE_OR_CONTENT_REVIEW_REQUIRED,NOT_COMPUTABLE_INCOMPLETE_IDENTITY_SET,,2,1,chicken,,,,UNKNOWN,INCOMPLETE_IDENTITY_SET,,,,listed_unresolved,,False,UNRESOLVED_INGREDIENT,,False,TBD,TBD,TBD,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED
